,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
AZ14,1987,AZ,3560,3560,3560,71200,71200,71200,,,,,1,0,0,,0,0,0,0,0,0,0,0,1,0,,0,Individuals/irrigation districts,Nature Conservancy,May'88
AZ15,1987,AZ,640,640,640,12800,12800,12800,25600,25600,40,2,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,CAP water,Great Weatern Jojoba,Oct'87
AZ16,1988,AZ,1724,1724,1724,34480,34480,34480,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Typt I goundwater,Developer,Feb'88
AZ17,1988,AZ,70,70,70,1400,1400,1400,66500,63857.99,912.257,45.61285,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Dairy,a recreational lake,Jun'88
AZ18,1988,AZ,138,138,138,2760,2760,2760,130000,124835.2,904.6027,45.23013,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Dairy,a golf course,Jun'88
AZ19,1988,AZ,795,795,795,15900,15900,15900,575000,552155.5,694.5352,34.72676,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,a Phoenix area hotel,Individuals/irrigation districts,Jun'88
AZ20,1988,AZ,8,8,8,14.875283,14.875283,14.875283,2400,2304.649,288.0811,154.9314,0,1,0,2,0,0,0,0,1,0,0,0,0,0,,0,Developer,a private water company,Mar'88
AZ21,1988,AZ,6,6,6,120,120,120,900,864.2434,144.0406,7.202028,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Type I gound water,Developer,Mar'88
AZ22,1988,AZ,10,10,10,200,200,200,12500,12003.38,1200.338,60.0169,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Individuals/irrigation districts,an investment corp.,Mar'88
AZ23,1989,AZ,5,52.5,100,100,1050,2000,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Tucson Water,Tucson County Club,Apr'90
AZ24,1989,AZ,0,100,200,0,100,200,8200,7512.258,75.12258,75.12258,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Central AZ Project,Developer,Jul'89
AZ26,1989,AZ,93000,93000,93000,1860000,1860000,1860000,35200000,3.22E+07,346.7499,17.3375,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Central AZ water Conservancy,"cities of Glendale and Peoria, Dept. of Interior",Sep'89
AZ25,1989,AZ,0,100000,200000,0,2000000,4000000,,,,,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Prudential Agr.Group,owner of Greenacre Farms of Missouri,Nov'89
AZ27,1990,AZ,185000,197500,210000,185000,197500,210000,7505000,6523091,33.02831,33.02831,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Central Arizona Water Conservation District,Gila River Indian Community; San Carlos Irrigation & Drainage District,Apr'90
AZ28,1990,AZ,180,190,200,3600,3800,4000,27740,24110.67,126.8982,6.344912,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Gilbert,Developer,Apr'90
AZ29,1990,AZ,200000,200000,200000,200000,200000,200000,8400000,7300995,36.50497,36.50497,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Central AZ water Conservancy,Maricopa-Stanfield Irrigation District,Feb'90
AZ30,1990,AZ,748150,748150,748150,748150,748150,748150,31422300,2.73E+07,36.50497,36.50497,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Central AZ water Conservancy,38 entities,Feb'90
AZ31,1990,AZ,117,117,117,2340,2340,2340,204750,177961.8,1521.041,76.05203,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Investors,Resort,Jul'90
AZ32,1990,AZ,147,147,147,2940,2940,2940,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Kalil Bottling Company,Space Biospheres Venture,Mar'90
AZ33,1990,AZ,20000,20000,20000,20000,20000,20000,,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,City of Tempe,Nov'90
AZ34,1990,AZ,182,182,182,3640,3640,3640,26572,23095.48,126.8982,6.344912,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Gilbert,Developer,Oct'90
AZ35,1991,AZ,1000,1000,1000,20000,20000,20000,3000000,2502203,2502.203,125.1101,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Guevavi Ranch,City of Nogales,Apr'91
AZ36,1991,AZ,200000,200000,200000,200000,200000,200000,10340000,8624259,43.1213,43.1213,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,Maricopa-Stanfield Irrigation District,Feb'91
AZ37,1991,AZ,800000,800000,800000,800000,800000,800000,41360000,3.45E+07,43.1213,43.1213,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,34entities,Feb'91
AZ38,1991,AZ,22000,22000,22000,440000,440000,440000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Landowners served by Welton-Mohawk Irri.&Drainage Dist.,U.S Bureau of Reclamation,Mar'91
AZ39,1991,AZ,30000,30000,30000,600000,600000,600000,1140000,950837,31.69457,1.584728,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,New Magma Irri.&Drainage Dist,Sep'91
AZ40,1992,AZ,600,600,600,12000,12000,12000,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigator,AZ chapter of the Nature Conservacy,Dec'92
AZ41,1992,AZ,378947.4,378947.4,378947.4,378947.4,378947.4,378947.4,,,,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD(1.2million af),"26 Municipal and Industrial Users, 12ag",Feb'92
AZ42,1992,AZ,821052.6,821052.6,821052.6,821052.6,821052.6,821052.6,,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,"26 Municipal and Industrial Users, 12ag",Feb'92
AZ43,1992,AZ,71,71,71,1420,1420,1420,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Farmers,AZ Nature Conservancy,Feb'92
AZ44,1992,AZ,3682.36,3682.36,3682.36,73647.2,73647.2,73647.2,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,City of Scottsdale,Public&Private Golf courses,Mar'92
AZ45,1992,AZ,30000,40000,50000,600000,800000,1000000,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,City of Tucson,Oct'92
AZ46,1993,AZ,305000,305000,305000,305000,305000,305000,16165000,1.27E+07,41.66644,41.66644,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,37 entities,Jan'93
AZ47,1993,AZ,445001,445000.5,445000,445001,445000.5,445000,23585027,1.85E+07,41.66644,41.66644,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,37 entities,Jan'93
AZ49,1993,AZ,25,25,25,500,500,500,25000,19653.98,786.1591,39.30796,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Investor,Non-profit user,Jun '93
AZ50,1993,AZ,146,146,146,2920,2920,2920,,,,,1,0,0,,0,0,0,0,0,1,0,0,0,0,,0,Developer,Arizona Department of Game and Fish,Oct '93
AZ48,1993,AZ,33250,33250,33250,665000,665000,665000,34912500,2.74E+07,825.4671,41.27336,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Harquahala Valley Irrigation District,Dept. of Interior,Jan'93
AZ51,1994,AZ,371,371,371,371,371,371,27825,21328.75,57.48988,57.48988,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Private Corporation,Jacobs Golf,Apr'94
AZ52,1994,AZ,33,33,33,660,660,660,59400,45531.98,1379.757,68.98785,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Individuals/irrigation districts,Amphitheatre School Dist.,Apr'94
AZ53,1994,AZ,695,695,695,13900,13900,13900,521250,399554.7,574.8988,28.74494,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Corporation,Corporation,Apr'94
AZ54,1994,AZ,300,350,400,300,350,400,12250,9390.014,26.82861,26.82861,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Town of Gilbert,Continental Tech Master Plan Community,Feb'94
AZ55,1994,AZ,300000,300000,300000,300000,300000,300000,18000000,1.38E+07,45.99191,45.99191,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,CAWCD,37 entities,Feb'94
AZ56,1994,AZ,400000,400000,400000,400000,400000,400000,9000000,6898786,17.24696,17.24696,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,37 entities,Feb'94
AZ57,1994,AZ,28308,28308,28308,566160,566160,566160,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,HoHoKam Irrigation and drainage District,Arizona Municipal Water Users Association,Feb'94
AZ58,1994,AZ,4995,4995,4995,99900,99900,99900,5400000,4139271,828.6829,41.43415,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Payson,Scottsdale Developers,Jan'94
AZ59,1994,AZ,54496,54496,54496,54496,54496,54496,3896464,2986763,54.80702,54.80702,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CAWCD,Municipal and Industrial Users,Jan'95
AZ60,1994,AZ,78856,78856,78856,78856,78856,78856,5638204,4321863,54.80702,54.80702,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,Ak Chin Tribe,Jan'95
AZ61,1994,AZ,497643,497642.5,497642,497643,497642.5,497642,14431633,1.11E+07,22.22942,22.22942,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,Irrigators,Jan'95
AZ62,1994,AZ,952.4675,952.4675,952.4675,952.4675,952.4675,952.4675,884000,677614.1,711.4301,711.4301,0,1,0,,0,0,0,0,1,0,0,0,0,0,,0,City of Scottsdale,Core North Development;Zifs Brothers Investments,Jul'94
AZ63,1994,AZ,434,434,434,8680,8680,8680,347200,266139.8,613.2254,30.66127,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Kaufman Companies,Farnsworth Development,Jul'94
AZ64,1994,AZ,685,685,685,13700,13700,13700,513750,393805.7,574.8988,28.74494,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Corporation,Phoenix-based manufacturer,Jul'94
AZ65,1994,AZ,1250,1250,1250,1250,1250,1250,577500,442672.1,354.1377,354.1377,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tucson,62 customers,Jun'94
AZ66,1994,AZ,378,378,378,7560,7560,7560,1159600,888870.2,2351.509,117.5754,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,City of Scottsdale,Del Webb Terravita Corp.,Mar'94
AZ67,1994,AZ,337,337,337,6740,6740,6740,235900,180824.8,536.5722,26.82861,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Boulders Resort,Farnsworth Development,May'94
AZ68,1994,AZ,2912.27,2912.37,2912.37,2912.27,2912.37,2912.37,1336935.8,1024804,351.8796,351.8796,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Phoenix,Northwest Phoenix partners Limited,Oct'94
AZ69,1994,AZ,5900,5900,5900,5900,5900,5900,2725800,2089412,354.1377,354.1377,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tucson,70 customers,Spring'95
AZ70,1995,AZ,17323,17323,17323,346460,346460,346460,19055300,1.42E+07,819.9475,40.99738,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,CAP M7I water right users,City of Scottsdale,fall'95
AZ71,1995,AZ,92,92,92,92,92,92,4532.84,3378.81,36.7262,36.7262,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Arizona Dept. of Reclamation,spring'95
AZ72,1995,AZ,5900,5900,5900,5900,5900,5900,2513400,1873506,317.5433,317.5433,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tucson,70 Users,spring'95
AZ73,1995,AZ,7010,7010,7010,7010,7010,7010,1752.5,1306.326,0.1863517,0.1863517,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Bullhead City,spring'95
AZ74,1995,AZ,4500,4500,4500,90000,90000,90000,297000,221385.8,49.19685,2.459842,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,McMicken Irrigation District,City of Surprise,spring'95
AZ75,1995,AZ,6000,8000,10000,6000,8000,10000,10144000,7561407,945.1759,945.1759,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Ak-Chin Indian Community,Del Webb Corp.,summer'95
AZ76,1995,AZ,148227,148227,148227,148227,148227,148227,12080501,9004888,60.75066,60.75066,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CAWCD,Various entities,winter'96
AZ77,1995,AZ,621312,621312,621312,621312,621312,621312,18846464,1.40E+07,22.61067,22.61067,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,Various entities,winter'96
AZ78,1995,AZ,433,433,433,8660,8660,8660,129900,96828.35,223.6221,11.1811,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Red Rock Feed Co.,winter'96
AZ79,1995,AZ,5013,5013,5013,100260,100260,100260,330858,246623.8,49.19685,2.459843,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,McMicken Irrigation District,"Cities of Avondale,Goodyear,Peoria,Surprise",winter'96
AZ80,1995,AZ,15000,15000,15000,300000,300000,300000,7500000,5590552,372.7034,18.63517,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Mohave County Water Authority,"cities of Bullhead, lake havasu; Mohave Valley WCD",winter'96
AZ81,1996,AZ,70,70,70,70,70,70,35,25.34098,0.362014,0.362014,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Marble Canyon Co.,Fall'96
AZ82,1996,AZ,6851,6851,6851,137020,137020,137020,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,ConsolIrrigation Districtated water utility,Brooke Water LLC; Water Utilities Community Facilities Dist.,fall'96
AZ83,1996,AZ,14591,14591,14591,291820,291820,291820,15904190,1.15E+07,789.1906,39.45953,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,CAP water users,City of Scottsdale,winter'97
AZ84,1997,AZ,150,335,520,3000,6700,10400,28475,20154.27,60.16199,3.0081,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Santa Rita County Club,spring'97
AZ85,1997,AZ,1000,1000,1000,20000,20000,20000,2000000,1415576,1415.576,70.77882,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Guevavi Ranch,City of Nogales,spring'97
AZ86,1997,AZ,32,32,32,640,640,640,3200,2264.922,70.77882,3.538941,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Berneil Water Company,Phoenix,summer'97
AZ87,1997,AZ,200,200,200,4000,4000,4000,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,Berneil Water Company,Scottsdale,summer'97
AZ88,1998,AZ,237,237,237,4740,4740,4740,500000,348466.3,1470.322,73.51608,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,New Pueblo Water Company,Community Water Company of Green Valley,spring'98
AZ89,1998,AZ,3030,3030,3030,60600,60600,60600,758,528.2748,0.1743481,0.0087174,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,City of Parker,spring'98
AZ90,1998,AZ,3900,3900,3900,78000,78000,78000,269100,187544.5,48.08834,2.404417,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,City of Scottsdale,spring'98
AZ91,1998,AZ,150,175,200,150,175,200,17500,12196.32,69.69325,69.69325,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Phoenix County Club,The Villages at Desert Hill Inc.,summer/fall'98
AZ92,1998,AZ,2000,2000,2000,2000,2000,2000,80000,55754.6,27.8773,27.8773,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,San Carlos Irri&Drainage Dist.,Pinal County,summer/fall'98
AZ93,1998,AZ,9500,9500,9500,121800.95,121800.95,121800.95,12300000,8572270,902.3442,70.37933,0,1,0,21,0,0,0,0,1,0,0,0,0,0,,0,City of Tucson,Metropolitan Domestic Water Improvement Dist&Oro Valley Improvement Dist#1,summer/fall'98
AZ94,1998,AZ,339,339,339,339,339,339,32883,22917.23,67.60246,67.60246,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Cdhada Hills Water Co.;Tucson Water,Town of Oro Valley,summer/fall'98
AZ95,1998,AZ,1652,1652,1652,33040,33040,33040,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Cdhada Hills Water Co.;Tucson Water,Town of Oro Valley,summer/fall'98
AZ96,1999,AZ,0,62.5,125,0,1240.4944,2480.9888,,,,,0,1,0,100,0,1,0,0,0,0,0,0,0,0,,0,San Carlos Apache Tribe,City of Scottsdale,Dec'99
AZ97,1999,AZ,80,120,160,617.73879,926.60819,1235.4776,90000,61368.55,511.4046,66.22923,0,1,0,10,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Cyprus-Baghdad Copper Co.,Feb'99
AZ98,1999,AZ,160,275,390,1235.4776,2123.4771,3011.4766,178750,121884.8,443.2173,57.39867,0,1,0,10,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Cyprus-Baghdad Copper Co.,Feb'99
AZ99,1999,AZ,160,660,1160,1235.4776,5096.3451,8957.2125,313500,213767.1,323.8895,41.94518,0,1,0,10,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Cyprus-Baghdad Copper Co.,Feb'99
AZ100,1999,AZ,81,81,81,625.46053,625.46053,625.46053,60750,41423.77,511.4046,66.22923,0,1,0,10,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,Yarnell Mining Co.,Jul'99
AZ101,1999,AZ,1070,1070,1070,21400,21400,21400,268,182.7419,0.1707868,0.0085393,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Town of Quartzsite,May'99
AZ102,1999,AZ,4109,4109,4109,82180,82180,82180,2773575,1891225,460.2641,23.0132,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,"McQueen-Rigs,265LC","AZ Rights,LLC",May'99
AZ103,1999,AZ,1500,1500,1500,30000,30000,30000,311318,212279.3,141.5195,7.075975,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,AZ State Land Dept.,City of Mesa,Nov'99
AZ104,1999,AZ,3480,3480,3480,69600,69600,69600,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,City of Globe,San Carlos Apache Tribe,Nov'99
AZ105,1999,AZ,15674.2,15674.2,15674.2,313484,313484,313484,23511300,1.60E+07,1022.809,51.14045,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,AZ State land Dept.,Sep'99
AZ106,2000,AZ,9810,9810,9810,9810,9810,9810,4659750,3074028,313.3566,313.3566,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tucson,Reclaimed Water Users,Apr'00
AZ107,2000,AZ,9434.6,9434.6,9434.6,9434.6,9434.6,9434.6,4481435,2956394,313.3566,313.3566,0,1,0,,0,0,0,0,1,0,0,0,0,0,,0,Tucson Water,318 users,Apr'00
AZ108,2000,AZ,20000,20000,20000,20000,20000,20000,880000,580534.3,29.02671,29.02671,0,1,0,,0,0,1,0,0,0,0,0,0,0,,0,CAWCD,Salt River Project,Dec'00
AZ109,2000,AZ,170.1,170.1,170.1,3402,3402,3402,255150,168322,989.547,49.47735,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities,Various entities,Feb'00
AZ110,2000,AZ,47,47,47,940,940,940,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Cortaro-Marana Irrigation District,Town of Marana,Jan'00
AZ111,2000,AZ,1000,1000,1000,20000,20000,20000,232000,153049.9,153.0499,7.652497,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,State of AZ,City of Peoria,Jul'00
AZ112,2000,AZ,556527,556527,556527,556527,556527,556527,18365391,1.21E+07,21.77003,21.77003,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,CAWCD,Irrigators,May'00
AZ113,2000,AZ,738630,738630,738630,738630,738630,738630,50965470,3.36E+07,45.51917,45.51917,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,CAWCD,Municipal and Industrial Users,May'00
AZ114,2000,AZ,9513,9513,9513,190260,190260,190260,627858,414196.7,43.54007,2.177004,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,McMicken Irrigation District,"Cities of Avondale,Goodyear,Peoria,Surprise",May'00
AZ115,2000,AZ,6000,6000,6000,6000,6000,6000,258000,170202.1,28.36702,28.36702,0,1,0,,0,0,1,0,0,0,0,0,0,0,,0,CAWCD,City of Tempe,Nov'00
AZ116,2000,AZ,147,147,147,2940,2940,2940,257250,169707.3,1154.472,57.72358,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,4 Individuals/irrigation districts,Town of Marana,Oct'00
AZ117,2000,AZ,17.3,17.3,17.3,346,346,346,30275,19972.36,1154.472,57.72358,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities,Various entities,Sep'00
AZ118,2001,AZ,3550,3550,3550,71000,71000,71000,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,City of Tempe,Salt River Project,Jul'01
AZ119,2001,AZ,10,10,10,200,200,200,20000,12828.91,1282.891,64.14455,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Marana,Mar'01
AZ120,2001,AZ,6478.5,6478.5,6478.5,129570,129570,129570,9069900,5817847,898.0237,44.90118,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Irrigation District Water Co.Inc,Allegheny Energy Inc.,May'01
AZ121,2001,AZ,201,201,201,4020,4020,4020,221100,141823.6,705.59,35.2795,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Individuals/irrigation districts,Development company,Nov'01
AZ122,2001,AZ,2271,2271,2271,2271,2271,2271,97653,62639.08,27.58216,27.58216,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,BHP Copper Inc.,City of Scottsdale;Carefree Water Co.Inc.;Tonto Hills Utility Co.,Oct'01
AZ123,2001,AZ,10,10,10,200,200,200,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Individuals/irrigation districts,Private Individuals/irrigation districts,Sep'01
AZ124,2002,AZ,14000,14000,14000,255582.96,255582.96,255582.96,5000000,3157310,225.5221,12.35337,0,1,0,50,0,1,0,0,0,0,0,0,0,0,,0,San Carlos Apache Tribe,Phelps Dodge Corp.,Apr'02
AZ125,2002,AZ,6.8,6.8,6.8,136,136,136,11750,7419.678,1091.129,54.55645,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private individuals/irrigation districts,Private individuals/irrigation districts,Jan'03
AZ126,2002,AZ,19,19,19,380,380,380,38000,23995.55,1262.924,63.1462,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private indviduals/irrigation districts & companies,Private indviduals/irrigation districts & companies,Jul'02
AZ127,2002,AZ,50000,50000,50000,216473.83,216473.83,216473.83,,,,,0,1,0,5,0,0,0,0,1,0,0,0,0,0,,0,Salt River Valley Water Users' Assoc.,AZ Water Banking Authority,Mar'02
AZ128,2002,AZ,1156,1156,1156,23120,23120,23120,1156000,729970,631.4619,31.5731,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Water users in Phoenix AMA,Water users in Phoenix AMA,Mar'03
AZ129,2002,AZ,42,42,42,840,840,840,73500,46412.45,1105.058,55.25292,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private indviduals/irrigation districts & companies,Private indviduals/irrigation districts & companies,May'02
AZ130,2002,AZ,8500,8500,8500,36800.552,36800.552,36800.552,,,,,0,1,0,5,0,0,0,0,1,0,0,0,0,0,,0,Central AZ water conservation Dist,City of Goodyear & City of Peoria,Nov'02
AZ131,2002,AZ,63,63,63,1260,1260,1260,110250,69618.68,1105.058,55.25292,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private indviduals/irrigation districts & companies,Private indviduals/irrigation districts & companies,Oct'02
AZ132,2002,AZ,1576,1576,1576,31520,31520,31520,1576000,995184,631.4619,31.5731,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private indviduals/irrigation districts & companies,Private indviduals/irrigation districts & companies,Oct'02
AZ133,2002,AZ,1000,1000,1000,20000,20000,20000,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Arizona State Land Dept.,City of Peoria,Sep'02
AZ134,2003,AZ,11559,11559,11559,11559,11559,11559,6600189,4074899,352.5304,352.5304,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Tucson Water,Municipal and Industrial Users,Apr'04
AZ135,2003,AZ,276,276,276,5520,5520,5520,303600,187440,679.1304,33.95652,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,An ice company,Developer,Dec'03
AZ136,2003,AZ,1626,1626,1626,1626,1626,1626,,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Flagstaff,Municipal and Industrial Users,Feb'04
AZ137,2003,AZ,1,1,1,20,20,20,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Jan'04
AZ138,2003,AZ,1,1,1,20,20,20,1750,1080.435,1080.435,54.02174,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Jan'04
AZ139,2003,AZ,110,110,110,2200,2200,2200,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Jan'04
AZ140,2003,AZ,110,110,110,2200,2200,2200,121000,74704.35,679.1305,33.95652,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Jan'04
AZ141,2003,AZ,27,27,27,540,540,540,54000,33339.13,1234.783,61.73913,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Jul'03
AZ142,2003,AZ,136,136,136,2720,2720,2720,394400,243499.1,1790.435,89.52174,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private individuals/irrigation districts,Private individuals/irrigation districts,May'03
AZ143,2003,AZ,530,530,530,10600,10600,10600,1060000,654434.8,1234.783,61.73913,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,May'03
AZ145,2003,AZ,8.2,8.2,8.2,164,164,164,16400,10125.22,1234.783,61.73913,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private individuals/irrigation districts,Private individuals/irrigation districts,Oct'03
AZ146,2003,AZ,3020,3020,3020,60400,60400,60400,3020000,1864522,617.3913,30.86957,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private entities,Private entities,Sep'03
AZ144,2003,AZ,480,480,480,9600,9600,9600,,,,,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Irrigator,Nov'04
AZ147,2004,AZ,11559,11559,11559,231180,231180,231180,6600189,3969198,343.3859,17.1693,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Tucson Water,595 users of reclaimed water is Tucson,Apr '04
