,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
CA36,1989,CA,30000,30000,30000,30000,30000,30000,,,,,0,1,0,,0,0,0,0,0,1,0,0,0,0,,0,East Bay Municipal Utility D,CA Dept. of Fish and Game,Oct '89
CA37,1989,CA,50000,50000,50000,50000,50000,50000,,,,,0,1,0,,1,0,0,0,0,0,0,0,0,0,,0,Kern County Water Agency,Westlands WD,Oct '89
CA38,1989,CA,110000,110000,110000,110000,110000,110000,3300000,3023226,27.48387,27.48387,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Department of Water Resources,Tulare Lake Basin Water Storage District,Sep '89
CA39,1989,CA,1000,1000,1000,2723.248,2723.248,2723.248,,,,,0,1,0,3,0,0,0,0,1,0,0,0,0,0,,0,Solano Irrigation District,diverse interests,Sep '89
CA40,1990,CA,184,184,184,184,184,184,39343,34195.6,185.8457,185.8457,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,West Coast Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA41,1990,CA,9472,9472,9472,9472,9472,9472,1041920,905601.5,95.60827,95.60827,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,West Coast Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA42,1990,CA,17527,17527,17527,17527,17527,17527,1927970,1675726,95.60827,95.60827,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Central Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA43,1990,CA,18448,18448,18448,18448,18448,18448,1937040,1683609,91.26244,91.26244,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Main San Gabriel Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA44,1990,CA,23,23,23,23,23,23,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,West Coast Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA45,1990,CA,241,241,241,241,241,241,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,Central Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA46,1990,CA,1615,1615,1615,1615,1615,1615,212049.5,184306.2,114.1215,114.1215,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,Central Basin M&I Owners,Municipal and Industrial Users,Jan '91
CA47,1990,CA,7500,7500,7500,7500,7500,7500,322500,280306.1,37.37414,37.37414,,,,,,,,,,,,,,,,1,Oroville-Wyandotte Irrigation D,Westlands WD,Jul '90
CA48,1990,CA,0,25000,50000,0,25000,50000,1125000,977811.8,39.11247,39.11247,0,1,0,,1,0,0,0,0,0,0,0,0,0,,0,Placer County WA,Westlands WD,Jul '90
CA49,1990,CA,10000,11250,12500,124622.1,140199.87,155777.63,9000000,7822495,695.3328,55.79531,0,1,0,20,0,0,0,0,1,0,0,0,0,0,,0,City of Thousand Oaks,Pleasant Valley County WD,Jun '90
CA50,1990,CA,98005,98005,98005,98005,98005,98005,3920200,3407305,34.76664,34.76664,,,,,,,,,,,,,,,,1,"La Hacienda, Inc.",Department of Water Resources,Jun '90
